#---it----------t---------itype-iproc---l-----m-----n-------x------------y------------z-----------rho---------rhom----------TT-----------EE----------Ekin----------Ecr--------t_sedov------radius------site_Nsol------maxTT------t_interval----SN_rate--
     24152  0.57790E-01     2    11     9     5    30  0.22000E-01  0.60000E-02 -0.34000E-01  0.11237E+01  0.15820E+01  0.85086E+02  0.21198E+00  0.64434E-02  0.00000E+00  0.20450E-03  0.20000E-01  0.13106E+04  0.76678E+04  0.39418E-03  0.13024E-02
     24456  0.58184E-01     2    11    13     6    11  0.38000E-01  0.10000E-01 -0.11000E+00  0.29733E+00  0.27054E+00  0.22593E+03  0.21258E+00  0.00000E+00  0.00000E+00  0.84569E-04  0.20000E-01  0.22413E+03  0.18069E+05  0.54314E-04  0.13024E-02
     24576  0.58239E-01     2    18    23    17     8 -0.20000E-02  0.54000E-01  0.15800E+00  0.21427E+00  0.21398E+00  0.26115E+03  0.21269E+00  0.00000E+00  0.00000E+00  0.82564E-04  0.20760E-01  0.19827E+03  0.22440E+05  0.12700E-02  0.13024E-02
     25416  0.59509E-01     2    15     4    16    31  0.20000E-02  0.50000E-01  0.11000E+00  0.20323E+00  0.24587E+00  0.23191E+03  0.21269E+00 -0.14901E-07  0.00000E+00  0.85159E-04  0.20443E-01  0.21753E+03  0.74536E+05  0.38393E-02  0.13024E-02
     25832  0.59940E-01     1     6    23     8    34 -0.20000E-02  0.18000E-01 -0.15800E+00  0.99617E-01  0.76038E-01  0.49739E+03  0.21264E+00  0.00000E+00  0.00000E+00  0.11705E-03  0.29358E-01  0.19925E+03  0.28703E+05  0.74504E-03  0.97677E-02
     26291  0.60685E-01     1    15    11    23     9  0.30000E-01  0.78000E-01  0.22000E-01  0.17815E+01  0.38915E+01  0.30644E+02  0.21239E+00  0.30320E-02  0.00000E+00  0.32074E-03  0.20000E-01  0.32240E+04  0.10047E+05  0.13900E-01  0.97677E-02
     28016  0.63350E-01     2     9    22    10    32  0.74000E-01 -0.54000E-01 -0.26000E-01  0.57562E+00  0.39177E+00  0.14583E+03  0.15633E+00  0.00000E+00  0.00000E+00  0.10177E-03  0.20000E-01  0.32457E+03  0.96585E+04  0.51856E-03  0.13024E-02
     28419  0.63869E-01     2     9    13    16    17  0.38000E-01 -0.30000E-01 -0.86000E-01  0.23592E+00  0.23868E+00  0.29312E+03  0.21238E+00  0.00000E+00  0.00000E+00  0.83643E-04  0.20417E-01  0.21038E+03  0.21709E+05  0.91357E-03  0.13024E-02
     29088  0.64783E-01     2     9    15    14    22  0.46000E-01 -0.38000E-01 -0.66000E-01  0.75263E-01  0.16127E+00  0.28804E+03  0.20938E+00  0.00000E+00  0.00000E+00  0.93020E-04  0.23041E-01  0.20430E+03  0.23115E+06  0.10645E-02  0.13024E-02
     29876  0.65849E-01     2    13    14     8     9  0.42000E-01 -0.62000E-01  0.22000E-01  0.61042E+00  0.20057E+01  0.12614E+03  0.21078E+00  0.46033E-02  0.00000E+00  0.23027E-03  0.20000E-01  0.16617E+04  0.11201E+05  0.27728E-03  0.13024E-02
     30162  0.66128E-01     2    15    21     9     7  0.70000E-01  0.22000E-01  0.14000E-01  0.29515E+01  0.32632E+01  0.16059E+02  0.16241E+00  0.19848E-02  0.00000E+00  0.29371E-03  0.20000E-01  0.27035E+04  0.73761E+04  0.33520E-02  0.13024E-02
     32172  0.69482E-01     2     4    22    11    36 -0.60000E-02 -0.50000E-01 -0.15000E+00  0.43154E-01  0.52763E-01  0.83167E+03  0.21232E+00  0.00000E+00  0.00000E+00  0.13323E-03  0.33263E-01  0.20109E+03  0.43833E+05  0.58148E-03  0.13024E-02
     32536  0.70065E-01     2     8    18    11    35 -0.22000E-01 -0.50000E-01 -0.14000E-01  0.81720E+01  0.76064E+01  0.35335E+01  0.21221E+00  0.13853E-02  0.00000E+00  0.44842E-03  0.20000E-01  0.63017E+04  0.51583E+04  0.24257E-03  0.13024E-02
     32775  0.70308E-01     2     9    18     6    36  0.58000E-01 -0.70000E-01 -0.10000E-01  0.58513E+00  0.16613E+01  0.53311E+02  0.19996E+00  0.62893E-02  0.00000E+00  0.20957E-03  0.20000E-01  0.13763E+04  0.22102E+05  0.98149E-03  0.13024E-02
     33504  0.71291E-01     2    14    16     9    17 -0.30000E-01  0.22000E-01  0.54000E-01  0.58728E+00  0.56584E+00  0.17899E+03  0.21265E+00  0.00000E+00  0.00000E+00  0.12231E-03  0.20000E-01  0.46878E+03  0.92123E+04  0.47867E-03  0.13024E-02
     33859  0.71771E-01     2    11    14     6    26  0.42000E-01  0.10000E-01 -0.50000E-01  0.27917E+00  0.27657E+00  0.23974E+03  0.21195E+00  0.00000E+00  0.00000E+00  0.85507E-04  0.20000E-01  0.22913E+03  0.19745E+05  0.64324E-03  0.13024E-02
     34379  0.72415E-01     2    10    16    13    12 -0.30000E-01  0.38000E-01 -0.10600E+00  0.56648E-01  0.71776E-01  0.34571E+03  0.21062E+00  0.00000E+00  0.00000E+00  0.12246E-03  0.30241E-01  0.20557E+03  0.28692E+05  0.33972E-03  0.13024E-02
     34605  0.72756E-01     2    12     6     5     6 -0.70000E-01 -0.74000E-01  0.10000E-01  0.33289E+01  0.43105E+01  0.13088E+02  0.16142E+00  0.18666E-02  0.00000E+00  0.33757E-03  0.20000E-01  0.35711E+04  0.54715E+04  0.58669E-03  0.13024E-02
     35000  0.73342E-01     2    14    20    13     4 -0.14000E-01  0.38000E-01  0.20000E-02  0.12487E+02  0.95247E+01  0.28168E+01  0.21171E+00  0.55435E-03  0.00000E+00  0.50179E-03  0.20000E-01  0.78910E+04  0.41246E+04  0.83955E-03  0.13024E-02
     35579  0.74182E-01     2    14    11    14    10 -0.50000E-01  0.42000E-01  0.26000E-01  0.69102E+01  0.42143E+01  0.41978E+01  0.20694E+00  0.82515E-03  0.00000E+00  0.33378E-03  0.20000E-01  0.34915E+04  0.54994E+04  0.50837E-02  0.13024E-02
     35860  0.74586E-01     1    20     4    18    16 -0.78000E-01 -0.22000E-01  0.33000E+00  0.70788E-02  0.38205E-02  0.55633E+03  0.86237E-01 -0.14901E-07  0.00000E+00  0.31998E-03  0.79839E-01  0.20135E+03  0.12366E+05  0.34195E-01  0.97677E-02
     38546  0.79268E-01     2    14     7    19    35 -0.66000E-01  0.62000E-01  0.12600E+00  0.88200E-01  0.88671E-01  0.44325E+03  0.16174E+00  0.00000E+00  0.00000E+00  0.11247E-03  0.28018E-01  0.20198E+03  0.38669E+05  0.14020E-03  0.13024E-02
     38719  0.79409E-01     2    13    10     4    13  0.26000E-01 -0.78000E-01  0.38000E-01  0.51081E+00  0.72595E+00  0.16485E+03  0.21268E+00  0.00000E+00  0.00000E+00  0.13853E-03  0.20000E-01  0.60143E+03  0.10551E+05  0.19944E-02  0.13024E-02
     39967  0.81403E-01     2    10    19     6    38 -0.18000E-01  0.10000E-01 -0.20000E-02  0.65595E+01  0.48101E+01  0.39708E+01  0.21252E+00  0.25788E-02  0.00000E+00  0.35660E-03  0.20000E-01  0.39851E+04  0.46840E+04  0.33577E-03  0.13024E-02
     40196  0.81740E-01     2    14    18    14    26 -0.22000E-01  0.42000E-01  0.90000E-01  0.30753E+00  0.27361E+00  0.18794E+03  0.21269E+00  0.00000E+00  0.00000E+00  0.85048E-04  0.20000E-01  0.22668E+03  0.25413E+05  0.10112E-02  0.13024E-02
     40935  0.82753E-01     2    12     8     9    14 -0.62000E-01 -0.58000E-01  0.42000E-01  0.80835E+01  0.53733E+01  0.35323E+01  0.21231E+00  0.21220E-02  0.00000E+00  0.37689E-03  0.20000E-01  0.44516E+04  0.59098E+04  0.10093E-02  0.13024E-02
     41566  0.83763E-01     2     8    21    19    21 -0.10000E-01 -0.18000E-01 -0.70000E-01  0.26147E+00  0.24964E+00  0.22048E+03  0.21269E+00  0.00000E+00  0.00000E+00  0.81238E-04  0.20000E-01  0.20683E+03  0.21437E+05  0.59210E-02  0.13024E-02
     45080  0.89685E-01     2     6    14    12    22 -0.38000E-01  0.34000E-01 -0.20600E+00  0.20970E-01  0.32049E-01  0.10481E+04  0.21027E+00  0.00000E+00  0.00000E+00  0.15668E-03  0.39213E-01  0.20013E+03  0.12161E+06  0.13339E-02  0.13024E-02
     46304  0.91020E-01     2    11    19    19    33  0.62000E-01  0.62000E-01 -0.22000E-01  0.55646E+01  0.49721E+01  0.51006E+01  0.21129E+00  0.14421E-02  0.00000E+00  0.36255E-03  0.20000E-01  0.41193E+04  0.78099E+04  0.43707E-02  0.13024E-02
     48910  0.95391E-01     2    10     8    16     7 -0.62000E-01  0.50000E-01 -0.12600E+00  0.12817E+00  0.13439E+00  0.27479E+03  0.20883E+00  0.00000E+00  0.00000E+00  0.10102E-03  0.24699E-01  0.20970E+03  0.23105E+05  0.91776E-03  0.13024E-02
     49514  0.96310E-01     2     8     6    20    37 -0.70000E-01 -0.14000E-01 -0.60001E-02  0.10723E+02  0.85728E+01  0.30668E+01  0.20271E+00  0.90758E-03  0.00000E+00  0.47607E-03  0.20000E-01  0.71025E+04  0.20573E+04  0.14575E-02  0.13024E-02
     50380  0.97768E-01     2    15    13    15    11  0.38000E-01  0.46000E-01  0.30000E-01  0.20997E+00  0.44663E+00  0.22919E+03  0.21259E+00  0.00000E+00  0.00000E+00  0.10947E-03  0.20060E-01  0.37333E+03  0.25271E+05  0.22593E-02  0.13024E-02
